;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;8;0;0;0;-0.8367881812706216;0
1;1;2;6;7;0;-0.8319971270433228;1
2;1;7;0;3;0;-0.8376057455269447;2
3;1;8;0;4;0;-0.8367969705473639;3
4;1;3;6;6;0;-0.837412330046113;4
5;1;7;0;1;1;-0.8349069178459008;5
6;1;8;7;5;1;-0.8364541041306722;6
7;1;2;4;0;1;-0.8216414065122605;7
8;0;12;7;6;1;-0.8325861125292887;8
9;0;4;3;6;0;-0.8389595136260162;9
10;0;3;6;5;1;-0.8297642357466717;10
11;1;8;5;5;0;-0.8370431128012246;11
12;1;1;5;6;1;-0.79748405581496;12
13;1;3;7;2;0;-0.837412330046113;13
14;0;11;1;7;0;-0.8220546161236241;14
15;1;2;5;3;0;-0.8319971270433228;15
16;1;8;0;7;0;-0.8366914818380161;16
17;1;1;7;7;0;-0.8284192263979703;17
18;1;3;3;7;1;-0.8307311744297194;18
19;1;5;1;4;0;-0.8388540260758977;19
