;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;1;7;0;7;7;4;-0.8482657590986067;0
1;1;1;8;0;3;2;5;-0.8397480466720509;1
2;1;1;3;0;4;2;6;-0.8382375008584724;2
3;1;1;1;0;5;3;4;-0.8067460409770671;3
4;1;1;2;1;3;2;6;-0.8402385553928251;4
5;1;1;4;0;0;6;4;-0.844815537857467;5
6;1;1;3;1;6;2;9;-0.8470053400090487;6
7;0;0;10;1;0;4;6;-0.8638538972949303;7
8;0;0;9;0;7;0;9;-0.8713062960657023;8
9;0;1;2;2;3;3;0;-0.832034422605392;9
10;0;0;0;0;0;5;2;-0.8019148050601904;10
11;0;0;12;2;4;5;4;-0.8641355761164426;11
12;0;0;4;1;7;2;7;-0.8484228200541735;12
13;1;1;9;1;3;3;6;-0.8660381683501035;13
14;1;1;10;0;1;1;1;-0.8152045465198741;14
15;1;0;8;2;4;0;6;-0.8593843952512483;15
16;0;0;3;1;5;0;1;-0.8404571510363666;16
17;1;0;12;0;4;3;8;-0.7984081480027434;17
18;1;1;11;0;1;7;5;-0.8042375533112176;18
