;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;0;0;2;7;9;-0.8202348733855921;0
1;1;1;8;1;1;4;6;-0.8425901650018041;1
2;0;0;1;0;4;7;0;-0.8287620657659778;2
3;1;1;11;1;4;1;2;-0.8454032494164003;3
4;1;1;4;1;1;6;1;-0.8317597524272571;4
5;1;1;12;0;7;0;8;-0.8243490458818137;5
6;1;0;3;0;6;7;7;-0.8378606546457806;6
7;1;1;4;2;4;6;7;-0.8271005960853792;7
8;1;1;11;1;7;6;7;-0.8456230354323274;8
9;1;1;8;2;2;0;8;-0.8395836739938008;9
10;1;1;9;0;6;7;0;-0.8341684864474017;10
11;1;1;6;1;4;0;0;-0.8390210470642276;11
12;0;0;6;0;4;0;4;-0.8458164254101135;12
13;1;1;3;0;1;0;2;-0.837412330046113;13
14;0;0;5;2;7;4;8;-0.8355486413107792;14
15;0;1;2;0;0;1;9;-0.8338256323958229;15
16;0;0;12;1;2;6;7;-0.8456230319546393;16
17;1;0;3;2;0;5;0;-0.8222128625187832;17
18;1;1;0;0;2;1;3;-0.8209469612976801;18
19;1;1;0;0;5;4;2;-0.8209469612976801;19
20;0;0;11;1;3;2;4;-0.8443571222325211;20
21;0;0;10;1;7;3;5;-0.8444186738319919;21
22;0;0;6;1;5;2;4;-0.8394078629559092;22
