;metric;n_neighbors;weights;loss;tid
0;1;17;1;-0.3351740413721152;0
1;0;0;1;-0.4417688559578351;1
2;2;3;1;-0.3349782546994705;2
3;0;17;1;-0.28152421500178104;3
4;0;14;0;-0.2404840255647392;4
5;2;4;0;-0.22818781444357775;5
6;1;7;1;-0.3701834155493734;6
7;0;15;1;-0.289395411184213;7
8;2;13;0;-0.22074725387283775;8
9;3;3;1;-0.3688127555051729;9
10;3;3;1;-0.3688127555051729;10
11;2;16;1;-0.22388007063868454;11
