;metric;n_neighbors;weights;loss;tid
0;3;12;0;-0.725339260295414;0
1;0;6;1;-0.6587149616933371;1
2;2;15;1;-0.6478789122343324;2
3;2;12;1;-0.6330362770546217;3
4;2;14;1;-0.6423097256415449;4
5;0;6;1;-0.6587149616933371;5
6;0;3;0;-0.6197837244355885;6
7;2;15;1;-0.6478789122343324;7
8;0;13;0;-0.7039068518902333;8
9;0;7;0;-0.6719525237240582;9
