;gamma;learning_rate;max_depth;min_child_weight;reg_alpha;reg_lambda;subsample;loss;tid
0;2293.089518246615;0.03516401752607699;12;7.571075630782888;3.294167796935188;7.673732526278452;0.9904569019015963;-0.2731943371349716;0
1;0.1370234376301194;0.8481714043576295;7;13.01773013312338;3.3655281660424965;2.5401945580270837;0.6879571216551879;-0.555643107272315;1
2;4.497114913363022;0.001599245193567546;7;6.008177433392554;8.068885008066424;2.8340150627492573;0.8134881713779007;-0.4711786308720704;2
3;1436.8589149332695;0.0018859413317617799;11;0.5468312999955987;9.427412853902549;2.5871896203655056;0.8395971852917327;-0.3665614585375417;3
4;0.04398633635366554;0.004375790850914668;8;0.7442367315590543;8.339765042850896;7.360721503546503;0.8403120275009093;-0.47913883859758377;4
5;0.02517591230782365;0.03916816478833464;1;0.9866956623003184;1.839604236101089;1.0394523313492594;0.6333759851476548;-0.45690549719201545;5
6;75.70015945589587;0.005021972214550421;11;8.239307555551003;3.4534751364815195;1.2402333813126019;0.6084476915792889;-0.43459354759351304;6
7;19303.370653822407;0.8321147802221898;7;0.3440939211362277;3.038312478114494;9.255872614728641;0.6564070449293808;-0.0;7
8;0.0070574192153360915;0.019077934462235335;10;0.27894858681007906;3.2853942759298604;9.797841878440936;0.5930906247518036;-0.5007450672878444;8
9;0.05273064134101847;0.005491838903021939;10;3.418968695030903;7.775626264455476;4.253824530214832;0.7541323914708482;-0.4814131638932773;9
10;21355.346329650696;0.15685127005076197;4;0.29856336919097376;7.699299940524366;4.323042526660843;0.7558249183682462;-0.0;10
11;127.96967826639238;0.372079675701766;9;0.2638188600552112;6.317084011074515;6.872930800072904;0.5182677665823672;-0.4704724563811017;11
