;gamma;learning_rate;max_depth;min_child_weight;reg_alpha;reg_lambda;subsample;loss;tid
0;355.480664190194;0.001991225786704086;8;0.4057745129690533;3.749932554847817;6.7861449986198235;0.7416498926669033;-0.4934480704705207;0
1;0.6079765742735668;0.002758698007797668;8;0.16551867707322238;0.8291751485386767;2.2549269378193717;0.7201444909742963;-0.5932607116185162;1
2;6.478911640147558;0.014164379807648899;9;0.3996196482486938;9.553426742774022;5.068259481466934;0.7908984734487009;-0.58369025433313;2
3;0.4140854168877445;0.006576827364122198;11;3.1074249067278235;6.642657845855587;9.926040508076499;0.9068636765206376;-0.5880871631504883;3
4;379.00029172989076;0.09704536174821404;2;0.22021105652525141;8.278581153067657;4.610883630864695;0.9456283884441793;-0.5459603153681204;4
5;0.03264504806011864;0.7877392336718573;7;0.19479173208842107;9.095496354164652;2.830062847778005;0.611339749590961;-0.599498650170468;5
6;0.6645329980172173;0.044811699784089484;8;0.23397423583132326;8.484835768599574;3.4699366327149903;0.688049316362185;-0.6114323882591869;6
7;2.97097322713034;0.012826317200998003;0;3.256063417295713;1.1748654525325697;8.063059166710234;0.6907391549606551;-0.48957893713110695;7
8;0.7591477737833967;0.006242014633595613;0;0.9828461937604477;9.988135437984985;8.842500726599685;0.8328639715894414;-0.43963252550827203;8
9;0.13909925070779805;0.00264198180272862;8;0.5047854842627211;0.5982339885264776;8.949810665642538;0.9691016519188322;-0.5881591696930759;9
10;3349.064776868222;0.009746690761125042;2;0.8376388584027059;8.793457252773253;9.14946588930987;0.6729915544542566;-0.45675319569356343;10
11;0.10196731156688812;0.0019241405589865796;7;4.733179946373657;7.790016324163716;9.459506566349626;0.8879187386096752;-0.5804125758552536;11
12;10520.194924930336;0.001388230835148263;3;0.35033665965958316;0.8753876160083041;6.654941179936666;0.6198869604951893;-0.0;12
13;1330.055699274229;0.08884806341295544;8;1.5181722081227096;4.537324468602697;5.412748185982065;0.7852038471710758;-0.4490684446873504;13
14;221.8109588466541;0.00125813016186812;3;5.7268677787247855;1.7823005499030464;1.5614189027171284;0.9977819329818874;-0.5335028215607213;14
15;0.09899124266626336;0.3496314463886247;9;0.370557680218755;1.0989253094856322;9.946989953839164;0.7465862217015606;-0.620263309681813;15
16;0.06895399286822239;0.010804494364598759;6;4.123911556188676;7.286221581273372;6.123295236229552;0.6232435378441645;-0.5834226049424005;16
17;0.0067541098395209175;0.13368439862033604;6;1.7163153519394985;2.0152161873712195;9.294130138809638;0.9319196834726121;-0.6181614976682273;17
18;0.00498775109756446;0.18268734630186628;12;3.2711926611903928;2.4073825703753315;4.73873162064799;0.5798738535164032;-0.6235552496047096;18
19;14117.996244917449;0.015335590854362062;1;0.16851225835324374;2.0201011464913043;1.0212151812449342;0.5764117806698454;-0.0;19
20;0.0008600394058742359;0.582907918091492;12;19.433454697080546;3.127713890885746;3.849143083511852;0.563519531354518;-0.6018277490679296;20
21;6.626383265282329e-05;0.32023411306077787;4;11.965022689701353;5.547532427641304;7.739509877545958;0.5021826637878437;-0.6207815877396078;21
22;4.997126081346041e-05;0.26008225598320006;4;15.030611160535603;5.918346065944169;7.807630241158876;0.5026209718897929;-0.6184427485693923;22
23;5.9763543042779943e-05;0.2743542146653319;12;9.255830578777697;5.61127304951591;7.66188667061439;0.509913663197715;-0.6203475117909664;23
24;0.0006174878277262981;0.05263218425591374;4;9.362524822543813;3.5990932121318657;4.384458970213074;0.5379606915264159;-0.5991148672975831;24
25;0.000638186317035322;0.16161081611060815;10;7.932679445477242;4.832105992332169;7.032659591965107;0.528686344098978;-0.6233871298292918;25
26;0.00516373740313815;0.14960688298067418;10;6.8094598286837345;4.406945013301167;6.096613854847192;0.6530331775846208;-0.6248547593014948;26
27;0.007684681647632291;0.027644067851772126;10;2.0946678512297576;2.993483996631645;6.049484209386145;0.5856318663875958;-0.607017407799782;27
28;0.00303793858550835;0.9575375815014491;5;5.892071017202605;0.047181380180338905;6.14508505718277;0.6282077950930107;-0.5876964068516264;28
29;0.00024248651058139447;0.5316054614575494;10;2.116000770934149;4.292590334171625;3.491126422752861;0.6605597805732963;-0.6075890748490247;29
30;6.525322092713701;0.028179812425677797;12;0.9683833041089729;2.80405355540369;2.2549082780838337;0.7271612475712138;-0.6011437195102366;30
31;25.683348387917697;0.1674692198080278;5;16.832739437792956;3.858754864046993;4.864123618934392;0.7749445774184205;-0.6005180243010078;31
32;0.017266592046343503;0.05213747698872575;11;3.2428760339944684;6.262391394562851;5.425639258890376;0.8224214444627594;-0.6170731182371616;32
33;0.004251961781971519;0.09269135598418121;10;2.6173586461800897;2.3390518634330526;6.945630943729655;0.6983081334360611;-0.6209708644162821;33
34;0.0023094817584746346;0.0688702986189594;12;6.108385469678159;3.748574800152275;4.096623712228776;0.6502609279736932;-0.6201110118857021;34
35;0.00020654237445621112;0.020197511279919107;1;1.4238652311544608;0.2577484744234124;2.6680941192286225;0.5532285086070182;-0.5450154224578483;35
36;0.0220105220029088;0.48275856145103835;9;0.590570733072429;6.989606183808039;5.780315610658361;0.5925307249921419;-0.6128248720672593;36
