;C;fit_intercept;penalty;loss;tid
0;0.011766801915563502;0;0;-0.8461768263295756;0
1;0.0033290859478614754;0;0;-0.8446560074886215;1
2;1.286943835937739;0;1;-0.8462207858512196;2
3;19.87266187625832;0;0;-0.8462559491407454;3
4;0.07741988700557996;0;0;-0.8462032065249157;4
5;1.668155423316215;0;0;-0.8462559499135649;5
6;0.003690713225979895;1;0;-0.7341280861461953;6
7;0.13058643156942398;0;1;-0.8461856225616939;7
8;0.002691020154884089;0;0;-0.8445065580984004;8
9;0.030709311577999145;0;1;-0.846080135784395;9
10;3.8962531112473746;1;0;-0.7415212137517443;10
11;0.4685471437080468;1;1;-0.7415124217701334;11
12;98.12476294802077;1;1;-0.7415739594588524;12
13;0.018112061143864197;1;1;-0.741169573901111;13
14;0.07192262193311065;1;0;-0.7411607853971882;14
15;32.53571299377302;1;1;-0.741565168636471;15
