;C;fit_intercept;penalty;loss;tid
0;0.03199940794216394;1;1;-0.8644022193184805;0
1;15.252758346003612;0;0;-0.8702104151189978;1
2;0.002832749307524631;1;1;-0.8645060032003731;2
3;59.03823034219468;0;0;-0.8702104017991956;3
4;3.102095084690566;0;1;-0.8702103751404268;4
5;0.016170273557919168;1;0;-0.8650699439088376;5
6;0.004059472909148105;1;0;-0.8648787942566531;6
7;0.00121916360829522;0;0;-0.8630760420616646;7
8;7.4567324655233085;1;0;-0.8642194410625104;8
9;6.443535941619957;1;1;-0.8642165800443724;9
10;0.9919954440661186;0;1;-0.870208970167129;10
11;2.6878784117115386;1;1;-0.8642182025311189;11
