;C;fit_intercept;penalty;loss;tid
0;0.003879362531249062;0;1;-0.7240942226258495;0
1;0.002499439109413543;0;1;-0.7247829520462193;1
2;0.06052233397516754;1;1;-0.45870442703803616;2
3;27.479113016123552;0;1;-0.7215910238801218;3
4;0.03845404740735499;0;1;-0.7216736663750414;4
5;0.020704913980893098;0;0;-0.7235866415822473;5
6;21.79247964728904;1;0;-0.4587945792995439;6
7;0.00950954715458317;1;0;-0.455875432045984;7
8;0.2037096118956974;0;1;-0.7216684305974033;8
9;2.433347408832254;0;0;-0.7215996941204884;9
10;0.003946611482040228;1;0;-0.4517271220233221;10
11;0.0014301406117052753;1;1;-0.4516351648458567;11
