;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;1;0;3;2;7;2;0;-0.3013869791005993;0
1;0;0;8;0;1;3;3;-0.4890596999434943;1
2;1;1;4;2;1;5;1;-0.3024870786581639;2
3;0;1;4;2;5;6;4;-0.32001562938447287;3
4;1;0;0;1;2;3;2;-0.03325254948087841;4
5;1;0;3;1;0;1;2;-0.33593376923402174;5
6;0;1;8;0;5;3;7;-0.485256185830537;6
7;1;0;6;0;4;6;2;-0.4704335097693263;7
8;1;0;9;2;5;3;6;-0.423339306787212;8
9;1;1;7;1;2;5;9;-0.42110466613620556;9
10;1;0;3;0;1;6;1;-0.42977000280606265;10
11;1;1;1;1;6;4;7;-0.1952804871017217;11
