;bootstrap;criterion;max_depth;max_features;min_samples_leaf;min_samples_split;n_estimators;loss;tid
0;0;0;7;1;0;7;3;-0.5471249309726186;0
1;1;1;8;2;6;7;2;-0.5277864604315049;1
2;0;0;11;0;2;4;1;-0.5955974502766433;2
3;0;1;1;0;3;1;8;-0.5102820515045454;3
4;0;1;6;2;4;5;8;-0.5015695801724924;4
5;0;1;12;2;1;1;1;-0.5635335307524458;5
6;1;0;3;1;1;6;5;-0.47210565810731697;6
7;1;1;5;1;1;0;1;-0.5087064803153567;7
8;0;1;8;1;0;3;8;-0.5551717999726344;8
9;0;0;6;0;0;6;5;-0.5791951831154544;9
10;1;0;11;2;3;1;7;-0.5617598779478733;10
11;1;1;12;1;2;4;4;-0.5764210087622933;11
12;0;0;6;2;2;1;9;-0.5168134736134847;12
