;accuracy;recall;precision;f1;roc_auc;Model
LogisticRegression;0.8460916347269595;0.5002352941176471;0.7280821917808219;0.59302649930265;0.8695;LogisticRegression
TreeDecision;0.8408171876648265;0.4883137254901961;0.7110552763819096;0.57900120896494;0.8496;TreeDecision
RandomForest;0.8489749991209254;0.5041568627450981;0.7391904323827047;0.5994591065933041;0.8705;RandomForest
XGBoost;0.8547768908892718;0.5465098039215687;0.7376667372432776;0.6278608758334835;0.8854;XGBoost
