;accuracy;recall;precision;f1;roc_auc;Model
LogisticRegression;0.7365941137170786;0.8467450980392157;0.45315648085963733;0.5903647399792202;0.864;LogisticRegression
TreeDecision;0.8317803016983719;0.4950588235294118;0.6685024359245922;0.5688536409516942;0.817;TreeDecision
RandomForest;0.8396568093111572;0.5061960784313726;0.6956240569088166;0.585981478118758;0.847;RandomForest
XGBoost;0.8433840852350645;0.5336470588235294;0.6967028466106902;0.6043702256173388;0.8674;XGBoost
