;accuracy;recall;precision;f1;roc_auc;Model
LogisticRegression;0.8454938640599177;0.4895686274509804;0.7324571696784792;0.586874764949229;0.8682;LogisticRegression
TreeDecision;0.823306023418545;0.2986666666666667;0.774613506916192;0.43111060794746975;0.7792;TreeDecision
RandomForest;0.7925032525756883;0.0836078431372549;0.9003378378378378;0.15300703315630831;0.824;RandomForest
XGBoost;0.840887513625655;0.4139607843137255;0.7698366394399067;0.5384066102213608;0.8567;XGBoost
