;accuracy;recall;precision;f1;roc_auc;Model
LogisticRegression;0.8459509828053026;0.5003921568627451;0.7273141814865481;0.5928817024440107;0.8695;LogisticRegression
TreeDecision;0.8398677871936425;0.44784313725490194;0.7341218822319362;0.5563133281371785;0.8493;TreeDecision
RandomForest;0.8488343471992686;0.49866666666666665;0.7424100887435777;0.5966031716242844;0.8716;RandomForest
XGBoost;0.8537571644572594;0.535843137254902;0.7400346620450606;0.621599490492221;0.8844;XGBoost
