;accuracy;recall;precision;f1;roc_auc;Model
LogisticRegression;0.846021308766131;0.5005490196078431;0.7275421796625627;0.5930675587770653;0.8695;LogisticRegression
TreeDecision;0.8389183867224586;0.484078431372549;0.7048880767473732;0.5739793545987165;0.8456;TreeDecision
RandomForest;0.8467245683744155;0.4771764705882353;0.7477876106194691;0.5825912094225797;0.8661;RandomForest
XGBoost;0.8523506452406906;0.5388235294117647;0.7317852577758841;0.6206522721113018;0.8844;XGBoost
