;C;fit_intercept;penalty;loss;tid
0;0.015912662973965916;1;1;-0.8408755376685079;0
1;0.1611037736812259;1;0;-0.8408363988606616;1
2;0.6009905297689695;1;1;-0.840052146637914;2
3;0.043015363600940465;0;1;-0.5047449442823592;3
4;0.00541945650764878;1;0;-0.8456202513155822;4
5;5.82362179651418;0;0;-0.5056860361866762;5
6;1.989343129201531;0;1;-0.50560761250197;6
7;0.051473599011795775;1;1;-0.8404050339994849;7
8;6.6050389532013885;1;1;-0.8399345072669334;8
9;0.025733891177945587;0;0;-0.502470595923137;9
10;13.287733793896377;1;0;-0.8399345072669334;10
11;0.0012486184436127548;0;0;-0.4615326329708515;11
12;0.9518808033953018;0;1;-0.505529181129421;12
13;69.95459789381466;1;0;-0.8399345072669334;13
14;1.0375304978192605;0;0;-0.5053723491356943;14
