;accuracy;recall;precision;f1;rocauc;Model
LinearRegression;0.841379795351454;0.49392840246017977;0.706359945872801;0.5813457076566125;0.7175045216210755;LinearRegression
KNN;0.8177502725130982;0.3996215108027125;0.648081841432225;0.4943907911423276;0.6686767161217835;KNN
TreeDecision;0.8403952318998559;0.47153445828733637;0.7156534226902824;0.5684951040973476;0.708886968486595;TreeDecision
RandomForest;0.8468652202960723;0.49503232928560165;0.7313606710158435;0.5904260321640177;0.7214278308569378;RandomForest
XGBoost;0.8518232005344774;0.530200283866898;0.7313465303458777;0.6147376119948803;0.737156436620751;XGBoost
