;accuracy;recall;precision;f1;rocauc;Model
LinearRegression;0.8415204472731108;0.486516322346633;0.7114852398523985;0.5778776809965346;0.7149524321480654;LinearRegression
KNN;0.8215478743978339;0.32013877937233876;0.7265569076592698;0.4444444444444444;0.6427827574117554;KNN
TreeDecision;0.8199303772987798;0.26636177259107396;0.7826691380908248;0.39745852453229785;0.6225690662213222;TreeDecision
RandomForest;0.8216885263194909;0.28260526730799557;0.7744165946413137;0.4140958983246678;0.6294916100319505;RandomForest
XGBoost;0.8201413551812652;0.2677811070809021;0.7824884792626728;0.3990130419457173;0.6232108540201325;XGBoost
