;accuracy;recall;precision;f1;rocauc;Model
LinearRegression;0.7402862266605718;0.8342532723545182;0.45505376344086024;0.5888901257931649;0.7737878724882374;LinearRegression
KNN;0.8038608952494813;0.41208011354675916;0.5854806184181044;0.48370973713439464;0.6641810650094191;KNN
TreeDecision;0.8213017335349344;0.5002365557483047;0.623795476892822;0.5552249256082618;0.7068338177420137;TreeDecision
RandomForest;0.8484475544147122;0.5007096672449141;0.7351238712664969;0.5956848030018762;0.7244701381749052;RandomForest
XGBoost;0.8444038116670769;0.5488093360668664;0.689928628072958;0.6113306982872201;0.7390168501313606;XGBoost
