;accuracy;recall;precision;f1;auc;Model
LinearRegression;0.8414501213122825;0.49392840246017977;0.7066787003610109;0.581453634085213;0.8628714295279323;LinearRegression
KNN;0.8229192306339885;0.34836776533669767;0.7096048827497591;0.4673154220435794;0.8171584674019299;KNN
TreeDecision;0.8403600689194416;0.4781580192398675;0.7112362186253812;0.5718596755941155;0.8458638227052098;TreeDecision
RandomForest;0.8462674496290306;0.4828891342059612;0.7369434416365824;0.5834603658536586;0.8640280777335877;RandomForest
XGBoost;0.8542142832026443;0.5372969563160385;0.7376055423251786;0.6217153284671532;0.8807741044398445;XGBoost
