;criterion;max_depth;min_samples_leaf;min_samples_split;splitter;loss;tid
0;1;12;5;6;0;-0.6353563207789678;0
1;0;12;1;3;1;-0.6629379066701759;1
2;0;8;7;6;0;-0.6872432762762711;2
3;1;0;6;7;0;-0.7860239365602839;3
4;1;8;2;7;0;-0.6982593964763558;4
5;0;2;6;4;1;-0.6928746343232248;5
6;0;7;6;2;0;-0.701728983703429;6
7;1;11;7;7;1;-0.6862482815088788;7
8;0;8;0;0;0;-0.6876468085874019;8
9;1;1;0;1;1;-0.7264305952036023;9
10;0;1;0;3;0;-0.7290146856809;10
11;1;8;2;6;1;-0.7129240211770536;11
12;0;3;0;0;1;-0.6983372936573735;12
13;0;6;6;7;0;-0.7195305006734662;13
