,Climat,Location,Seuil,pvalue05,pvaluebest,AccuracyTrain,AccuracyTest,RecallTest,PrecisionTest,F1Test,AUC
0,4,,0.18852238357067108,0.0,0.0,0.8358010989903365,0.8343438718059766,0.8077373974208675,0.5341085271317829,0.643023798413439,0.9061072240930766
1,4,,0.5,0.0,0.0,0.8914814714560269,0.8867475097444781,0.5509964830011723,0.7704918032786885,0.6425153793574846,0.9061072240930766
2,0,,0.286556214094162,0.0,0.0,0.8062286689419795,0.7990104077802422,0.7354289456450557,0.5919873484449131,0.6559579439252337,0.8620564344188849
3,0,,0.5,0.0,0.0,0.8397610921501707,0.8329636580788261,0.5009823182711198,0.7790224032586558,0.6098047030689517,0.8620564344188849
4,1,,0.1813480108976364,8.134598736396989e-161,4.942195476853653e-165,0.8153111162899092,0.8136067101584343,0.8747553816046967,0.5708812260536399,0.6908809891808346,0.9134592482210929
5,1,,0.5,8.134598736396989e-161,4.942195476853653e-165,0.8837100908879049,0.8578751164958062,0.598825831702544,0.7536945812807881,0.6673936750272628,0.9134592482210929
6,3,,0.24066253006458282,0.0,0.0,0.8006517427033154,0.7944843218738195,0.8128301886792453,0.5618153364632238,0.6644046884639111,0.8853984416967345
7,3,,0.5,0.0,0.0,0.8502408614338339,0.8413298073290517,0.5464150943396227,0.7518172377985463,0.6328671328671328,0.8853984416967345
8,2,,0.08650586754083633,4.3934240574258636e-195,1.872396473537322e-167,0.8627941448953123,0.855131530196369,0.9090909090909091,0.38461538461538464,0.5405405405405405,0.9379272119682373
9,2,,0.5,4.3934240574258636e-195,1.872396473537322e-167,0.9468223086900129,0.9377547239718415,0.4743083003952569,0.7741935483870968,0.5882352941176471,0.9379272119682373
10,6,,0.29007256031036377,2.319448395507375e-187,4.972997007974429e-179,0.8351200686106347,0.8040308747855918,0.8298153034300791,0.6572622779519331,0.7335276967930029,0.8911341288014674
11,6,,0.5,2.319448395507375e-187,4.972997007974429e-179,0.8622427101200686,0.8310463121783876,0.683377308707124,0.7708333333333334,0.7244755244755244,0.8911341288014674
