;C;fit_intercept;penalty;loss;tid
0;0.0036844346272826628;0;1;-0.8672209698678051;0
1;0.10408846257847784;1;1;-0.8623251632234734;1
2;19.759421831973018;0;1;-0.8682341398199809;2
3;0.008548599267645379;0;0;-0.8674158562198743;3
4;1.598410577678838;0;1;-0.8682338332354522;4
5;0.6539722426621742;1;1;-0.8622720391860849;5
6;0.0447093632847729;1;1;-0.862394787336271;6
7;0.13084718561056588;1;1;-0.8623131174428893;7
8;0.001752997343014865;1;1;-0.8623592093488679;8
9;0.03836748773553116;1;1;-0.8624126206146261;9
10;0.13871495527641647;0;1;-0.868222747675788;10
11;0.6229881761082138;0;0;-0.8682316763147788;11
12;0.6426467798589409;1;1;-0.8622722058076894;12
