;gamma;learning_rate;max_depth;min_child_weight;reg_alpha;reg_lambda;subsample;loss;tid
0;0.07750478610150047;0.11637634935758497;5;5.147496378523848;5.564845901114684;7.68107444425298;0.790204677162854;-0.6198589417988637;0
1;17.264299713819675;0.3306407430652139;8;13.546124732683493;1.8109811667238551;1.8192851050019228;0.6276705934471764;-0.6142191188589173;1
2;1.495926817283584;0.01057728846785093;1;5.03908123535286;8.804601072094101;5.972467911825901;0.5563578586883815;-0.5237596667716875;2
3;0.0022855124125625115;0.473303147725342;2;13.134028882810824;3.938220122996654;4.003527345581962;0.7593422555466144;-0.6205901151054283;3
4;442.1171717050329;0.027245200381879456;7;0.3263137022108517;9.351106369000806;8.766873676714882;0.977616976152851;-0.5470745017961685;4
5;0.0018323852028555151;0.003545293723648309;5;0.6941684253006087;8.082930880424358;4.61070474469757;0.6156324103735212;-0.5787920231944079;5
6;2.7883804104159533;0.06826231156652561;7;0.7620463352147452;5.310814694305709;9.100203288382389;0.9633804302256745;-0.6168371960225488;6
7;0.0006526836154240828;0.01684304450403097;9;1.2966155170152036;3.1136671570161223;7.408317126815272;0.5803800535906092;-0.6017952325653797;7
8;2.354511628613609;0.02621723368947981;7;0.9496199449172379;5.950939627404619;2.2764166177140064;0.7020478852291198;-0.6028953994490032;8
9;1706.5194078943637;0.003729533768467579;7;2.2944255509537212;3.131373126756202;8.603601250381322;0.7931054854712849;-0.4964805744838648;9
10;1.1454966503453832;0.0035477432184601496;3;8.798462231413344;6.187688927536889;9.949338176865238;0.5858305982116345;-0.560017421749704;10
11;0.09148016041559616;0.017779382228173497;3;0.3562527914272516;1.33524823440622;8.81161740085374;0.9048298853180541;-0.5742723673546337;11
12;14507.127283555812;0.014395967135175401;9;0.3115147130191774;3.274898411010907;5.606438114790869;0.8375367881026179;-0.0;12
13;27.415607242150955;0.2226009272739037;0;1.505873811044489;8.53525821573144;5.234260564280362;0.5323640199367361;-0.5937142551282072;13
