;gamma;learning_rate;max_depth;min_child_weight;reg_alpha;reg_lambda;subsample;loss;tid
0;0.0001282421207209618;0.3914368206984567;7;0.31496502511371605;4.950387017555987;7.315149595921006;0.9127680909764605;-0.7147333671747623;0
1;16646.96052609684;0.00835562194396929;3;0.17220798658362846;5.542659278808813;7.733089403501287;0.8721536789625887;-0.0;1
2;3222.479510166064;0.037646618600421164;10;0.4237953583054369;1.0098232425201004;8.954067373213128;0.9996159087035787;-0.8527733532755992;2
3;10.850650397714109;0.5263706537789613;5;0.36997853841053085;3.8974732385949586;7.173276448818048;0.5148101938194016;-0.7265840760466398;3
4;0.5308726310644235;0.001735431084012842;1;3.3741038794302725;9.811243721809287;9.173228936097505;0.8107706488763801;-0.7585897877790947;4
5;5.791391500629575e-05;0.00482192391253211;4;5.826091521073222;9.264155327857747;2.560532682791873;0.8514224327692497;-0.747987337638644;5
6;0.0007887572523767187;0.10194400595773624;10;0.6719710868991685;1.4747775425624499;1.7051824754026663;0.6539653875327737;-0.7407788550544859;6
7;7.784260022413063;0.02952175603798706;3;0.6032345692730002;1.8660500064304986;7.724675960797809;0.6851631572578392;-0.752545465917519;7
8;4.222940483091756;0.13487270133857748;11;0.3553977159238062;5.228828190340523;6.31526697568078;0.7333018475469761;-0.7397482660519781;8
9;5.172631704186359;0.03501905666243924;2;0.4473801009775011;0.39586151109688883;8.733601537263798;0.8175731094130687;-0.7526166289482317;9
10;0.326123349884013;0.0024349617363029047;7;11.040231914034797;3.374647740522485;3.7891309016700365;0.8486677522484798;-0.743296271275699;10
11;3.6024710135523725;0.6293598748715108;2;12.038871848186517;9.732182974626905;9.15936861852503;0.665415367783608;-0.72829829454397;11
12;5.5819556421893514e-05;0.019111856849362983;12;17.45056496283596;2.2570308890359336;6.790993107503962;0.8733349800931032;-0.7476049475624535;12
