;metric;n_neighbors;weights;loss;tid
0;2;13;0;-0.22074725387283775;0
1;0;1;1;-0.39696928946849097;1
2;1;9;0;-0.3531877492759105;2
3;1;1;0;-0.4107931763779013;3
4;3;13;0;-0.2843044516876816;4
5;1;9;1;-0.36168556707907323;5
6;1;5;0;-0.3753917151808004;6
7;1;10;1;-0.3612547014638498;7
8;3;0;0;-0.23327878160689358;8
9;2;8;1;-0.2829340446473655;9
10;3;14;1;-0.29479950515506914;10
11;0;6;0;-0.263627824232528;11
12;0;5;0;-0.34042146460421996;12
13;1;15;1;-0.33955994037695125;13
