;C;fit_intercept;penalty;loss;tid
0;15.515632697903357;1;1;-0.7415563778140896;0
1;0.021794940890711906;0;1;-0.8461328822643225;1
2;0.0043171825804964896;0;0;-0.8451395104477959;2
3;0.011474530850894815;0;0;-0.8461768267159855;3
4;0.3526371192692456;1;0;-0.7414245147055485;4
5;0.07770767049524577;0;0;-0.8461944157025341;5
6;1.4624693683685097;0;0;-0.8462471590911835;6
7;0.0014108718381016555;0;1;-0.84487577341124;7
8;0.08820580613571756;0;0;-0.8461944157025341;8
9;0.07988647064747793;0;1;-0.846168041303341;9
10;7.732096454489394;0;1;-0.8462383674959826;10
11;29.006994322177185;0;1;-0.8462383674959826;11
12;0.035213832766389334;0;1;-0.8460713445756036;12
13;6.393840023517468;0;1;-0.8462383674959826;13
14;36.679709849710136;1;1;-0.741565168636471;14
15;0.006207852509081609;1;1;-0.7393762337701857;15
16;2.573226547889777;0;1;-0.8462383674959826;16
