;C;fit_intercept;penalty;loss;tid
0;0.3055722203142676;1;1;-0.45870910622955685;0
1;0.004314743728584574;1;0;-0.45227540877145167;1
2;0.2808241486193311;0;1;-0.7216291506425854;2
3;0.0012397526391668837;0;1;-0.7279350613499173;3
4;0.0059634452953775865;1;0;-0.4544943010211827;4
5;4.408652379947405;1;0;-0.45874533753011193;5
6;0.15185567972465075;1;0;-0.45842017176329614;6
7;10.200002032063335;0;1;-0.7215910238801218;7
8;3.3173801789480084;1;1;-0.45879472544204064;8
9;64.84553212006405;0;0;-0.7216301623681952;9
10;0.26312863549055576;1;0;-0.45859169355725127;10
11;0.004675150025754404;0;1;-0.7242856848590316;11
12;0.005853787385630506;0;1;-0.7242481651073633;12
13;2.4123331904718124;0;1;-0.7215910238801218;13
