;C;fit_intercept;penalty;loss;tid
0;2.212819868079794;1;1;-0.8415180524404985;0
1;0.38836300027694226;1;1;-0.8414788828391145;1
2;4.7449711936274985;0;1;-0.5129622706807292;2
3;0.005772872462811671;1;1;-0.8430060832867321;3
4;0.06112534421147455;1;0;-0.8430844301562843;4
5;8.199932687295622;0;0;-0.5129622706807292;5
6;0.012443334421177796;0;0;-0.5074405529039556;6
7;0.02624215288830281;0;1;-0.5112783381600853;7
8;0.0014648804184396109;0;0;-0.47478092546980905;8
9;0.012318647023732693;0;1;-0.5095553050391166;9
10;0.0010335720492745206;0;1;-0.48927017426140884;10
11;5.638979907062246;1;0;-0.841478890505899;11
12;0.0026224056643204667;1;0;-0.8505640529934271;12
13;0.005078585253721809;0;0;-0.49953009511872715;13
14;0.5573069396353438;1;1;-0.8414397285712992;14
15;7.446007298156517;0;1;-0.5129622706807292;15
16;0.0275459337859476;0;0;-0.5112000219576704;16
17;0.0032531906109014015;1;0;-0.8500550245114764;17
18;0.0019766192825037433;1;1;-0.845982382649515;18
19;1.8853355613651734;1;0;-0.841478890505899;19
20;94.9534000438754;1;0;-0.841478890505899;20
21;0.1084343197374866;1;0;-0.8426145099414427;21
22;0.003347347696529333;1;0;-0.8499375463744621;22
