;C;fit_intercept;penalty;loss;tid
0;0.0022053590998645047;1;0;-0.5856310941188679;0
1;0.04689423459945373;0;1;-0.599044703471231;1
2;0.02414656795224315;0;1;-0.5987147999557952;2
3;2.8476774197731616;0;0;-0.5995887635207204;3
4;7.657481734661577;0;0;-0.5996666306392686;4
5;48.31440081110228;1;1;-0.5938164985660606;5
6;0.42131578076346493;1;1;-0.5937308141766986;6
7;0.0040335113465023555;0;0;-0.589951556328993;7
8;0.0030746198493891226;1;0;-0.5880587935098573;8
9;0.07536891945156539;1;1;-0.5939505856941878;9
10;0.04212786083670472;0;0;-0.598970425241114;10
11;0.0949463785195511;1;1;-0.5938455950690141;11
12;3.8797911058670627;1;1;-0.5938165337602084;12
13;0.03125468862631454;0;1;-0.5987334003828289;13
14;0.011980707738742245;1;1;-0.5933454337131282;14
